,gen,indicator,sim
0,0,4.051301800551329,c4495a02-b8ae-4807-b2a1-11278c028bb9
1,1,4.069129880407785,c4495a02-b8ae-4807-b2a1-11278c028bb9
2,2,4.0715407769645395,c4495a02-b8ae-4807-b2a1-11278c028bb9
3,3,4.075048130498427,c4495a02-b8ae-4807-b2a1-11278c028bb9
4,4,4.080020501178606,c4495a02-b8ae-4807-b2a1-11278c028bb9
5,5,4.080020501178606,c4495a02-b8ae-4807-b2a1-11278c028bb9
6,6,4.080020501178606,c4495a02-b8ae-4807-b2a1-11278c028bb9
7,7,4.080020501178606,c4495a02-b8ae-4807-b2a1-11278c028bb9
8,8,4.126308520793243,c4495a02-b8ae-4807-b2a1-11278c028bb9
9,9,4.153506554778257,c4495a02-b8ae-4807-b2a1-11278c028bb9
10,10,4.162441460612379,c4495a02-b8ae-4807-b2a1-11278c028bb9
11,11,4.16436733699773,c4495a02-b8ae-4807-b2a1-11278c028bb9
12,12,4.178030998802516,c4495a02-b8ae-4807-b2a1-11278c028bb9
13,13,4.181548933307163,c4495a02-b8ae-4807-b2a1-11278c028bb9
14,14,4.181548933307163,c4495a02-b8ae-4807-b2a1-11278c028bb9
15,15,4.181548933307163,c4495a02-b8ae-4807-b2a1-11278c028bb9
16,16,4.181548933307163,c4495a02-b8ae-4807-b2a1-11278c028bb9
17,17,4.1815802366569015,c4495a02-b8ae-4807-b2a1-11278c028bb9
18,18,4.181588213241977,c4495a02-b8ae-4807-b2a1-11278c028bb9
19,19,4.181605372469007,c4495a02-b8ae-4807-b2a1-11278c028bb9
20,20,4.181607976642828,c4495a02-b8ae-4807-b2a1-11278c028bb9
21,21,4.18161285837624,c4495a02-b8ae-4807-b2a1-11278c028bb9
22,22,4.181615518942151,c4495a02-b8ae-4807-b2a1-11278c028bb9
23,23,4.1816157663026035,c4495a02-b8ae-4807-b2a1-11278c028bb9
24,24,4.181615773610233,c4495a02-b8ae-4807-b2a1-11278c028bb9
25,25,4.181615773610233,c4495a02-b8ae-4807-b2a1-11278c028bb9
26,26,4.181615773610233,c4495a02-b8ae-4807-b2a1-11278c028bb9
27,27,4.1816162587071215,c4495a02-b8ae-4807-b2a1-11278c028bb9
28,28,4.1816162587071215,c4495a02-b8ae-4807-b2a1-11278c028bb9
29,29,4.181730729204049,c4495a02-b8ae-4807-b2a1-11278c028bb9
30,30,4.1819602987605755,c4495a02-b8ae-4807-b2a1-11278c028bb9
31,31,4.181960497729871,c4495a02-b8ae-4807-b2a1-11278c028bb9
32,32,4.181960498678537,c4495a02-b8ae-4807-b2a1-11278c028bb9
33,33,4.181960871561277,c4495a02-b8ae-4807-b2a1-11278c028bb9
34,34,4.18667467782864,c4495a02-b8ae-4807-b2a1-11278c028bb9
35,35,4.188163245207717,c4495a02-b8ae-4807-b2a1-11278c028bb9
36,36,4.188193693093426,c4495a02-b8ae-4807-b2a1-11278c028bb9
37,37,4.188202226076313,c4495a02-b8ae-4807-b2a1-11278c028bb9
38,38,4.189674115227137,c4495a02-b8ae-4807-b2a1-11278c028bb9
39,39,4.189878710543737,c4495a02-b8ae-4807-b2a1-11278c028bb9
40,40,4.189880584802389,c4495a02-b8ae-4807-b2a1-11278c028bb9
41,41,4.189976964753037,c4495a02-b8ae-4807-b2a1-11278c028bb9
42,42,4.1899769647569105,c4495a02-b8ae-4807-b2a1-11278c028bb9
43,43,4.1899769647569105,c4495a02-b8ae-4807-b2a1-11278c028bb9
44,44,4.1899769647569105,c4495a02-b8ae-4807-b2a1-11278c028bb9
45,45,4.1899769647569105,c4495a02-b8ae-4807-b2a1-11278c028bb9
46,46,4.189977414932849,c4495a02-b8ae-4807-b2a1-11278c028bb9
47,47,4.1899775284064855,c4495a02-b8ae-4807-b2a1-11278c028bb9
48,48,4.189979374201216,c4495a02-b8ae-4807-b2a1-11278c028bb9
49,49,4.189980292347165,c4495a02-b8ae-4807-b2a1-11278c028bb9
50,50,4.189980292347165,c4495a02-b8ae-4807-b2a1-11278c028bb9
51,51,4.189980514969823,c4495a02-b8ae-4807-b2a1-11278c028bb9
52,52,4.19008949508769,c4495a02-b8ae-4807-b2a1-11278c028bb9
53,53,4.19008949508769,c4495a02-b8ae-4807-b2a1-11278c028bb9
54,54,4.1900894962475155,c4495a02-b8ae-4807-b2a1-11278c028bb9
55,55,4.1900894962475155,c4495a02-b8ae-4807-b2a1-11278c028bb9
56,56,4.1902179964315565,c4495a02-b8ae-4807-b2a1-11278c028bb9
57,57,4.190217997192323,c4495a02-b8ae-4807-b2a1-11278c028bb9
58,58,4.190218027712775,c4495a02-b8ae-4807-b2a1-11278c028bb9
59,59,4.190218027712775,c4495a02-b8ae-4807-b2a1-11278c028bb9
60,60,4.190218027712775,c4495a02-b8ae-4807-b2a1-11278c028bb9
61,61,4.190218027712775,c4495a02-b8ae-4807-b2a1-11278c028bb9
62,62,4.190218050345555,c4495a02-b8ae-4807-b2a1-11278c028bb9
63,63,4.190218050345555,c4495a02-b8ae-4807-b2a1-11278c028bb9
64,64,4.190218050345555,c4495a02-b8ae-4807-b2a1-11278c028bb9
65,65,4.19021806302317,c4495a02-b8ae-4807-b2a1-11278c028bb9
66,66,4.190424117997141,c4495a02-b8ae-4807-b2a1-11278c028bb9
67,67,4.190630304786301,c4495a02-b8ae-4807-b2a1-11278c028bb9
68,68,4.190630306101013,c4495a02-b8ae-4807-b2a1-11278c028bb9
69,69,4.1906303279075665,c4495a02-b8ae-4807-b2a1-11278c028bb9
70,70,4.190630334882553,c4495a02-b8ae-4807-b2a1-11278c028bb9
71,71,4.190630334882553,c4495a02-b8ae-4807-b2a1-11278c028bb9
72,72,4.190630337577906,c4495a02-b8ae-4807-b2a1-11278c028bb9
73,73,4.190630338374698,c4495a02-b8ae-4807-b2a1-11278c028bb9
74,74,4.190630338374698,c4495a02-b8ae-4807-b2a1-11278c028bb9
